codigo_postal,precio_m2,precio_medio,superficie_media,total_informados,total,es_estimado
03517,638.046166,91143.928181,142.8484,33.0,34.0,0
03518,678.528021,95704.761904,141.0476,21.0,24.0,0
03569,1726.707597,187491.666666,108.5833,24.0,27.0,0
03578,914.33447,113113.333333,123.7111,45.0,47.0,0
03579,1288.82984,198230.344516,153.8064,31.0,35.0,0
03638,737.512931,111387.5,151.0312,32.0,34.0,0
03650,765.337725,118306.580882,154.5808,136.0,160.0,0
03659,1267.34505,342500.0,270.25,4.0,6.0,0
03668,480.612234,79220.916666,164.8333,30.0,36.0,0
03688,1337.920083,198124.839263,148.0842,95.0,104.0,0
03723,,,,,1.0,0
03728,1647.327357,306793.045,186.2368,38.0,40.0,0
03729,1617.9642,288557.692307,178.3461,26.0,29.0,0
03769,1776.296148,371875.0,209.3541,48.0,49.0,0
03778,1733.224826,185737.209302,107.1627,43.0,50.0,0
03786,1369.905737,138309.742222,100.9629,27.0,28.0,0
03788,668.912963,95865.789473,143.3157,19.0,22.0,0
03789,736.73036,57833.333333,78.5,6.0,9.0,0
03790,1952.65515,234769.230769,120.2307,26.0,29.0,0
03791,2138.36759,256375.0,119.8928,28.0,29.0,0
03792,1905.101905,260061.53,136.5079,63.0,65.0,0
03793,662.075298,103000.0,155.5714,14.0,17.0,0
03794,987.401574,139333.333333,141.1111,9.0,10.0,0
03795,1269.707605,195081.504285,153.6428,14.0,15.0,0
03810,526.690391,78352.941176,148.7647,17.0,20.0,0
03811,334.567901,54200.0,162.0,5.0,6.0,0
03812,358.218318,114200.0,318.8,5.0,6.0,0
03813,227.613806,65000.0,285.5714,7.0,8.0,0
03814,931.415929,105250.0,113.0,4.0,4.0,0
03815,,,,,3.0,0
03816,,,,,2.0,0
03827,363.411693,66988.888888,184.3333,9.0,13.0,0
03828,424.249877,78409.090909,184.8181,11.0,15.0,0
03837,418.490005,86069.444444,205.6666,9.0,10.0,0
03838,,,,,2.0,0
03840,721.715817,103538.461538,143.4615,13.0,15.0,0
03841,785.637727,122166.666666,155.5,6.0,7.0,0
03850,246.149614,49722.222222,202.0,18.0,18.0,0
