codigo_postal,provincia,municipio_nombre,poblacion_actual,poblacion_hace_5a,crecimiento_%,supera_20k,crecimiento_positivo,precio_m2,variacion_anual_%,variacion_maximo_%,en_maximo_historico,precio_anual_positivo,fuente_precio,tiene_supermercado,tiene_colegio,tiene_instituto,tiene_universidad,tiene_centro_salud,tiene_todos_servicios,tiene_mercadona
46017,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,1914.795622,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46019,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,1807.027165,16.99,0.0,True,True,notariado,True,True,True,False,True,False,True
46020,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,2603.247974,16.99,0.0,True,True,notariado,True,True,True,False,True,False,True
46021,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,2806.268425,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46022,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,2490.462182,16.99,0.0,True,True,notariado,True,True,True,True,True,True,True
46023,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,3217.140161,16.99,0.0,True,True,notariado,True,True,True,False,True,False,True
46024,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,2483.021592,16.99,0.0,True,True,notariado,False,True,False,False,True,False,True
46025,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,2108.134886,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46026,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,1879.70867,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46035,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,1582.896429,16.99,0.0,True,True,notariado,True,True,True,False,True,False,True
46112,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,2233.459441,16.99,0.0,True,True,notariado,False,False,False,False,True,False,True
46004,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,4982.029703,16.99,0.0,True,True,notariado,True,True,False,False,False,False,True
03550,Alicante/Alacant,"Alacant/Alicante, Sant Joan d'Alacant",118997.76923076923,109650.46153846153,8.52,True,True,2468.516708,11.69,0.0,True,True,notariado,True,True,True,False,True,False,True
03113,Alicante/Alacant,"Alacant/Alicante, Elx/Elche",104441.61923076924,97021.71153846153,7.65,True,True,1410.99526,16.56,-3.855,True,True,notariado,False,False,False,False,True,False,True
03409,Alicante/Alacant,"Alacant/Alicante, Cañada, Salinas, Villena",102664.10256410256,95570.21153846153,7.42,True,True,568.378913,14.485,-10.11,True,True,notariado,False,False,False,False,True,False,True
03011,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,909.807598,11.69,0.0,True,True,notariado,False,True,True,False,True,False,True
03002,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,2716.035865,11.69,0.0,True,True,notariado,False,False,False,False,True,False,True
03003,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,2594.818443,11.69,0.0,True,True,notariado,False,False,False,False,False,False,True
03699,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,939.347414,11.69,0.0,True,True,notariado,False,False,False,False,True,False,True
03004,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,2077.669678,11.69,0.0,True,True,notariado,True,True,False,False,False,False,True
03005,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,2130.336752,11.69,0.0,True,True,notariado,False,True,True,True,True,False,True
03006,Alicante/Alacant,Alacant/Alicante,92163.76923076923,85283.46153846153,8.07,True,True,1529.56685,11.69,0.0,True,True,notariado,False,True,False,False,False,False,True
